13	17	30	35	42	45	34
5	8	23	36	44	46	31
17	20	21	28	29	36	14
19	23	28	30	47	48	33
1	4	10	15	17	19	27
13	23	30	33	36	37	38
3	15	29	32	43	45	34
10	17	26	39	40	47	35
12	26	30	32	37	42	27
4	13	15	18	23	30	35
10	12	36	40	43	48	25
8	17	23	26	32	43	25
1	4	21	23	24	26	10
3	14	29	38	40	44	24
1	8	13	19	22	42	43
2	8	15	25	40	45	37
2	5	21	25	46	49	8
1	7	10	16	38	43	47
12	13	16	19	31	47	24
2	8	18	30	35	37	26
10	18	22	24	26	29	32
1	22	29	35	38	44	10
4	9	26	33	35	48	15
1	7	17	28	32	44	10
12	18	28	34	38	48	19
8	18	25	31	41	42	29
1	8	25	27	41	42	44
3	15	22	27	35	38	12
4	5	20	25	37	39	26
4	13	25	28	38	42	12
4	8	9	18	30	34	36
8	26	29	34	37	38	27
2	8	15	18	30	41	6
8	16	31	34	36	44	25
2	3	20	38	39	49	19
16	34	38	41	42	45	8
12	17	21	27	35	44	47
13	20	22	28	32	38	24
16	19	30	31	42	43	11
4	5	13	20	23	27	18
12	16	31	34	41	46	23
2	26	31	34	37	41	29
19	20	31	35	38	49	48
4	5	9	32	34	43	44
5	6	10	22	30	36	21
1	13	35	36	42	43	18
14	20	27	33	34	37	26
5	10	15	21	38	40	2
5	14	26	33	42	45	11
1	2	3	21	31	33	17
4	21	29	31	32	38	39
1	7	18	25	28	36	35
13	23	33	37	40	43	29
7	17	28	29	46	49	34
9	25	31	41	47	48	12
2	16	24	25	30	39	4
1	8	11	28	44	46	20
12	23	24	29	35	47	27
1	2	11	21	36	44	12
3	13	27	30	34	49	44
16	31	35	41	45	48	26
13	18	26	30	31	41	36
12	14	15	22	23	48	27
12	20	23	24	28	47	15
2	4	12	24	33	48	13
2	27	34	36	45	48	12
4	6	15	21	36	48	13
5	7	20	22	31	39	6
4	9	26	31	33	34	2
14	26	31	36	41	49	10
7	10	24	26	30	42	11
17	29	31	34	37	49	2
6	19	38	39	42	45	40
4	11	28	29	33	39	16
1	11	12	26	37	47	41
15	20	29	40	44	47	3
1	3	5	21	29	40	30
7	12	14	20	26	36	27
19	21	27	34	35	38	47
12	13	28	30	36	42	15
11	12	26	31	32	40	19
1	6	7	11	23	30	24
4	13	32	42	44	48	40
6	8	10	12	21	24	2
1	23	31	35	42	49	13
2	7	24	26	34	43	12
1	3	4	15	22	42	2
6	10	15	24	30	49	45
14	30	32	40	41	44	13
13	14	18	34	40	42	7
5	8	21	23	25	46	20
8	10	16	24	26	45	2
3	4	13	43	45	46	33
4	19	21	26	38	41	35
5	15	16	26	34	45	8
4	10	12	22	26	35	43
1	3	4	14	17	33	47
4	15	16	36	48	49	38
7	15	25	38	40	41	13
12	15	17	18	34	35	19
1	4	5	14	33	34	10
1	2	6	10	34	39	12
21	24	27	28	39	44	40
8	15	35	37	40	46	26
3	25	26	27	40	45	34
1	17	23	31	39	41	37
1	5	16	20	29	49	42
7	11	16	19	22	34	6
16	20	26	32	33	34	36
6	18	24	27	33	49	2
7	8	9	18	22	37	17
5	12	30	40	45	46	22
4	9	18	29	32	43	27
8	13	29	34	39	46	40
9	29	37	44	45	48	15
20	25	27	28	41	43	8
9	11	29	33	35	39	14
1	20	24	34	43	47	27
6	9	13	15	25	47	24
22	28	30	37	38	43	8
8	21	28	37	38	46	10
11	13	19	38	46	47	12
9	15	28	33	34	40	2
6	16	19	23	44	48	5
12	17	18	19	26	42	22
1	25	35	36	41	48	38
25	35	36	38	39	46	42
8	16	21	27	41	47	9
4	11	13	17	18	37	23
6	8	15	36	40	42	24
11	23	27	29	31	46	12
20	24	26	33	34	45	38
4	7	10	16	21	25	17
6	19	20	28	34	49	25
11	14	18	19	24	26	7
3	4	20	36	41	46	6
10	12	19	24	47	48	22
1	3	7	9	28	40	32
2	16	23	32	45	47	30
7	12	14	25	39	45	48
2	11	22	34	37	38	14
1	5	19	28	34	48	45
10	12	18	30	36	45	11
3	8	13	16	27	48	46
4	10	16	23	41	45	43
2	9	21	25	37	49	48
4	13	14	17	20	37	21
2	3	10	31	37	48	26
1	7	12	17	21	30	16
2	4	5	11	26	42	10
27	28	32	36	42	45	20
1	15	20	22	32	37	42
18	23	28	33	39	47	29
7	10	27	44	48	49	19
2	3	12	22	34	41	7
2	15	23	27	28	45	21
12	13	26	43	45	48	2
6	9	24	27	32	41	44
9	12	15	17	22	23	43
12	23	26	29	36	42	15
9	18	25	33	42	44	10
4	9	11	26	32	38	41
7	10	19	29	37	43	47
8	10	11	14	31	45	22
5	12	25	29	39	43	36
2	4	25	33	39	46	47
3	8	18	31	44	45	11
2	6	21	23	30	35	1
9	13	24	28	35	41	18
3	10	18	27	34	45	24
10	14	28	30	33	47	22
2	3	6	8	18	34	21
5	17	32	41	43	49	28
1	17	19	28	35	47	49
3	12	13	36	38	48	27
4	14	21	22	23	33	29
2	15	36	43	44	48	26
9	17	25	32	36	42	23
19	28	29	34	41	45	7
5	7	12	13	21	34	28
9	18	20	30	35	36	42
4	19	26	27	37	45	42
3	8	9	15	22	45	16
3	7	15	29	35	44	34
8	13	18	20	43	44	33
4	5	6	40	45	49	26
3	4	20	29	35	46	24
6	28	31	40	47	48	35
1	15	17	18	20	49	42
5	6	8	9	23	30	28
15	22	32	36	39	43	35
15	24	28	33	34	48	35
25	26	33	35	38	45	41
15	21	26	29	36	37	1
3	31	39	41	46	49	16
7	22	26	38	46	49	11
4	7	19	23	33	46	27
4	5	10	26	27	32	33
2	9	18	24	28	46	15
3	4	14	30	33	37	5
3	22	30	40	43	46	13
2	7	8	15	19	39	3
26	32	36	38	46	49	19
5	12	18	20	21	30	32
3	19	37	43	45	47	49
22	23	31	32	36	39	38
7	11	14	20	25	27	43
5	7	11	21	33	39	10
1	2	3	30	31	34	32
12	22	30	31	46	47	11
19	25	33	37	38	43	5
5	9	13	22	26	32	25
6	26	31	36	40	45	25
1	2	14	17	39	48	15
13	15	26	31	40	47	13
19	32	35	37	41	43	8
3	11	24	31	33	38	40
7	8	22	32	34	39	14
17	21	26	36	39	44	25
4	20	22	34	36	38	21
17	20	26	28	42	44	18
5	6	16	21	27	36	37
7	20	31	40	42	43	17
17	26	32	35	39	40	22
3	5	8	35	39	42	4
5	19	20	29	40	41	17
7	18	26	38	42	45	23
5	14	20	31	37	39	36
